Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
EGY,2011-01-01,2011-12-31,59,'818,Egypt,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2011,2011,kcal/cap/d,3248,E,
EGY,2012-01-01,2012-12-31,59,'818,Egypt,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2012,2012,kcal/cap/d,3237,E,
EGY,2013-01-01,2013-12-31,59,'818,Egypt,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2013,2013,kcal/cap/d,3159,E,
EGY,2014-01-01,2014-12-31,59,'818,Egypt,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2014,2014,kcal/cap/d,3152,E,
EGY,2015-01-01,2015-12-31,59,'818,Egypt,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2015,2015,kcal/cap/d,3144,E,
EGY,2016-01-01,2016-12-31,59,'818,Egypt,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2016,2016,kcal/cap/d,3139,E,
EGY,2017-01-01,2017-12-31,59,'818,Egypt,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2017,2017,kcal/cap/d,3150,E,
EGY,2018-01-01,2018-12-31,59,'818,Egypt,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2018,2018,kcal/cap/d,3166,E,
EGY,2019-01-01,2019-12-31,59,'818,Egypt,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2019,2019,kcal/cap/d,3162,E,
EGY,2020-01-01,2020-12-31,59,'818,Egypt,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2020,2020,kcal/cap/d,3112,E,
EGY,2021-01-01,2021-12-31,59,'818,Egypt,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2021,2021,kcal/cap/d,3081,E,
EGY,2022-01-01,2022-12-31,59,'818,Egypt,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2022,2022,kcal/cap/d,3108,E,
EGY,2023-01-01,2023-12-31,59,'818,Egypt,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,3094,E,
EGY,2000-01-01,2002-12-31,59,'818,Egypt,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20002002,2002,kcal/cap/d,3261,E,
EGY,2001-01-01,2003-12-31,59,'818,Egypt,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20012003,2003,kcal/cap/d,3256,E,
EGY,2002-01-01,2004-12-31,59,'818,Egypt,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20022004,2004,kcal/cap/d,3216,E,
EGY,2003-01-01,2005-12-31,59,'818,Egypt,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20032005,2005,kcal/cap/d,3190,E,
EGY,2004-01-01,2006-12-31,59,'818,Egypt,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20042006,2006,kcal/cap/d,3189,E,
EGY,2005-01-01,2007-12-31,59,'818,Egypt,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20052007,2007,kcal/cap/d,3229,E,
EGY,2006-01-01,2008-12-31,59,'818,Egypt,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20062008,2008,kcal/cap/d,3266,E,
EGY,2007-01-01,2009-12-31,59,'818,Egypt,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20072009,2009,kcal/cap/d,3278,E,
EGY,2008-01-01,2010-12-31,59,'818,Egypt,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20082010,2010,kcal/cap/d,3286,E,
EGY,2009-01-01,2011-12-31,59,'818,Egypt,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20092011,2011,kcal/cap/d,3266,E,
EGY,2010-01-01,2012-12-31,59,'818,Egypt,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20102012,2012,kcal/cap/d,3260,E,
EGY,2011-01-01,2013-12-31,59,'818,Egypt,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20112013,2013,kcal/cap/d,3214,E,
EGY,2012-01-01,2014-12-31,59,'818,Egypt,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20122014,2014,kcal/cap/d,3182,E,
EGY,2013-01-01,2015-12-31,59,'818,Egypt,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20132015,2015,kcal/cap/d,3152,E,
EGY,2014-01-01,2016-12-31,59,'818,Egypt,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20142016,2016,kcal/cap/d,3145,E,
EGY,2015-01-01,2017-12-31,59,'818,Egypt,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20152017,2017,kcal/cap/d,3144,E,
EGY,2016-01-01,2018-12-31,59,'818,Egypt,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20162018,2018,kcal/cap/d,3152,E,
EGY,2017-01-01,2019-12-31,59,'818,Egypt,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20172019,2019,kcal/cap/d,3159,E,
EGY,2018-01-01,2020-12-31,59,'818,Egypt,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20182020,2020,kcal/cap/d,3146,E,
EGY,2019-01-01,2021-12-31,59,'818,Egypt,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20192021,2021,kcal/cap/d,3118,E,
EGY,2020-01-01,2022-12-31,59,'818,Egypt,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20202022,2022,kcal/cap/d,3100,E,
EGY,2021-01-01,2023-12-31,59,'818,Egypt,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20212023,2023,kcal/cap/d,3094,E,
EGY,2022-01-01,2024-12-31,59,'818,Egypt,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20222024,2024,kcal/cap/d,3096,E,
EGY,2000-01-01,2002-12-31,59,'818,Egypt,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20002002,2002,%,65,E,
EGY,2001-01-01,2003-12-31,59,'818,Egypt,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20012003,2003,%,65,E,
EGY,2002-01-01,2004-12-31,59,'818,Egypt,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20022004,2004,%,65,E,
EGY,2003-01-01,2005-12-31,59,'818,Egypt,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20032005,2005,%,65,E,
EGY,2004-01-01,2006-12-31,59,'818,Egypt,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20042006,2006,%,65,E,
EGY,2005-01-01,2007-12-31,59,'818,Egypt,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20052007,2007,%,65,E,
EGY,2006-01-01,2008-12-31,59,'818,Egypt,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20062008,2008,%,65,E,
EGY,2007-01-01,2009-12-31,59,'818,Egypt,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20072009,2009,%,65,E,
EGY,2008-01-01,2010-12-31,59,'818,Egypt,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20082010,2010,%,65,E,
EGY,2009-01-01,2011-12-31,59,'818,Egypt,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20092011,2011,%,65,E,
EGY,2010-01-01,2012-12-31,59,'818,Egypt,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20102012,2012,%,64,E,
EGY,2011-01-01,2013-12-31,59,'818,Egypt,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20112013,2013,%,64,E,
